1;0,1;1,1;1,1;2,1;1,1;0,2;0,2;0,1;1,1;1,1;1,1;1,1;0,1;2,1;1,1;2,1;1,1;0
1;0,3;0,3;0,3;0,3;1,3;5,2;6,2;6,2;0,3;4,3;0,3;0,3;0,3;0,3;0,3;0,3;0,1;0
1;0,3;0,3;0,3;0,2;0,2;0,3;5,3;9,2;0,2;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,1;0
1;0,3;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,3;4,3;0,3;0,3;0,3;0,3;0,3;0,1;0
1;0,3;0,3;0,3;1,2;0,2;0,3;5,3;9,2;0,2;0,2;0,3;4,3;0,3;0,3;0,3;0,3;1,1;0
1;0,3;0,3;1,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,3;4,3;0,3;0,3;1,3;9,1;0
2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0
2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0
1;0,3;0,3;2,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,1;0
1;0,3;0,3;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,3;3,3;0,3;2,2;0,2;0,2;0,1;0
1;0,3;0,3;0,3;2,2;0,2;0,2;1,2;2,2;3,2;4,3;3,3;0,3;0,3;0,3;2,2;0,3;3,1;0
1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,1;0
1;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,3;0,1;0
1;3,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;1,1;2,1;4
B;128;4;384;0;MausoleumRoom,C;4;128;1148;384;Room9,D;4;128;0;384;Room5
Fountain;352;224,Tree;896;128,Tree_2;644;149,Tree_3;569;567,DeadTree;345;765,Mausoleum;110;350,MausoleumLocked;123;128,Bush;950;400,Gravestone_4;222;375
Guapo;100;100
